MA0009.1	17.8627489557575	T	Beta-Hairpin-Ribbon	; acc "P20293" ; collection "CORE" ; comment "-" ; family "T" ; medline "8344258" ; pazar_tf_id "TF0000006" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0104.2	11.10408707833	Mycn	Zipper-Type	; acc "P03966" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "18555785" ; pazar_tf_id "TF0000075" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-Seq" 
MA0101.1	10.514792387777	REL	Ig-fold	; acc "Q04864" ; collection "CORE" ; comment "-" ; family "Rel" ; medline "1406630" ; pazar_tf_id "TF0000073" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0003.1	7.81209200796467	TFAP2A	Zipper-Type	; acc "P05549" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "10497269" ; pazar_tf_id "TF0000002" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0006.1	9.53241709191153	Arnt::Ahr	Zipper-Type	; acc "P30561,P53762" ; collection "CORE" ; comment "dimer" ; family "Helix-Loop-Helix" ; medline "7592839" ; pazar_tf_id "TF0000004" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0057.1	9.40029161122265	MZF1_5-13	Zinc-coordinating	; acc "P28698" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "8114711" ; pazar_tf_id "TF0000036" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0067.1	6.20567063978618	Pax2	Helix-Turn-Helix	; acc "P32114" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "8132558" ; pazar_tf_id "TF0000043" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0042.1	13.1829736117753	FOXI1	Winged Helix-Turn-Helix	; acc "Q12951" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "9153225" ; pazar_tf_id "TF0000027" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0113.1	14.7489179581357	NR3C1	Zinc-coordinating	; acc "P04150" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "15563547" ; species "9606,10090,10116,9031,8022" ; tax_group "vertebrates" ; type "COMPILED" 
MA0115.1	27.8780468034389	NR1H2::RXRA	Zinc-coordinating	; acc "P55055,P19793" ; collection "CORE" ; comment "heterodimer between NR1H2 and RXR" ; family "Hormone-nuclear Receptor" ; medline "10187832" ; pazar_tf_id "TF0000080" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0039.2	12.6183576805199	Klf4	Zinc-coordinating	; acc "Q60793" ; collection "CORE" ; comment "- " ; family "BetaBetaAlpha-zinc finger" ; medline "18555785 " ; pazar_tf_id "TF0000026" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0112.2	13.5630609490181	ESR1	Zinc-coordinating	; acc "P03372" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "19339991" ; pazar_tf_id "TF0000189" ; species "9606" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0138.2	23.133898399507	REST	Zinc-coordinating	; acc "NP_005603" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "17540862 " ; pazar_tf_id "TF0000830" ; species "9606" ; tax_group "vertebrates" ; type "Chip-seq" 
MA0018.2	10.1388499313822	CREB1	Zipper-Type	; acc "P16220" ; collection "CORE" ; comment "Annotations from PAZAR CREB1_RAT + CREB1_HUMAN + CREB1_MOUSE in the pleiades genes project (TF0000110, TF0000150, TF0000732)." ; family "Leucine Zipper" ; medline "17916232 " ; pazar_tf_id "TF0000013" ; species "10116,9606,10090" ; tax_group "vertebrates" ; type "COMPILED" 
MA0031.1	11.9264176788219	FOXD1	Winged Helix-Turn-Helix	; acc "Q16676" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "7957066" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0032.1	6.50807164809114	FOXC1	Winged Helix-Turn-Helix	; acc "Q12948" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "7957066" ; pazar_tf_id "TF0000020" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0133.1	5.26063535577042	BRCA1	Other	; acc "P38398" ; collection "CORE" ; comment "Multi-protein complex" ; family "Other" ; medline "14502648" ; pazar_tf_id "TF0000825" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0002.2	10.4014248709659	RUNX1	Ig-fold	; acc "Q01196" ; collection "CORE" ; comment "Data is from Frank Grosveld's Lab." ; family "Runt" ; medline "-" ; pazar_tf_id "TF0000001" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0068.1	11.0044478832836	Pax4	Helix-Turn-Helix	; acc "P32115" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "10567552" ; pazar_tf_id "TF0000044" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0147.1	11.1572392768441	Myc	Zipper-Type	; acc "P01108" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "18555785" ; pazar_tf_id "TF0000420" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0089.1	7.9381437011596	NFE2L1::MafG	Zipper-Type	; acc "Q14494,Q90889" ; collection "CORE" ; comment "Heterodimer between TCF11 and Mafg" ; family "Leucine Zipper" ; medline "9421508" ; pazar_tf_id "TF0000063" ; species "9031" ; tax_group "vertebrates" ; type "SELEX" 
MA0017.1	15.9238684526357	NR2F1	Zinc-coordinating	; acc "P10589" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "8496174" ; pazar_tf_id "TF0000012" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0043.1	11.1469251071435	HLF	Zipper-Type	; acc "Q16534" ; collection "CORE" ; comment "-" ; family "Leucine Zipper" ; medline "8065331" ; pazar_tf_id "TF0000028" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0131.1	13.1966529939183	MIZF	Zinc-coordinating	; acc "Q9BQA5" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "14752047" ; pazar_tf_id "TF0000823" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0103.1	8.30486487593768	ZEB1	Zinc-coordinating	; acc "P36197" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "8065305" ; pazar_tf_id "TF0000074" ; species "9031" ; tax_group "vertebrates" ; type "SELEX" 
MA0078.1	10.5018372361999	Sox17	Other Alpha-Helix	; acc "Q61473" ; collection "CORE" ; comment "-" ; family "High Mobility Group" ; medline "8636240" ; pazar_tf_id "TF0000054" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0136.1	8.69309549377962	ELF5	Winged Helix-Turn-Helix	; acc "" ; collection "CORE" ; comment "-" ; family "Ets" ; medline "16704374" ; pazar_tf_id "TF0000828" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0148.1	12.5328023736824	FOXA1	Winged Helix-Turn-Helix	; acc "P55317" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "18798982" ; pazar_tf_id "TF0000263" ; species "9606" ; tax_group "vertebrates" ; type "ChiP-Seq" 
MA0124.1	11.1268616865409	NKX3-1	Helix-Turn-Helix	; acc "Q99801" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "10871372" ; pazar_tf_id "TF0000819" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
